Site,Name,Latitude,Longitude
NISB,Birat Medical College,26.52365573,87.27897284
NISB,Janaki Medical College,26.81571429,85.95298855
NISB,Dhulikhel Hospital/Sukraraj Tropical and Infectious Disease Hospital,27.6167179,85.54737476
NISB,Manipal College of Medical Sciences,28.25196531,83.98668034
NISB,Nepalgunj Medical College,28.19987325,81.67740446
NISB,Karnali Academy of Health Sciences (KAHS),29.36287483,82.18824118
NISB,Seti Zonal Hospital,28.70440897,80.5876106
CBS,Mountain Region- Karnali Province,29.1012,82.712
CBS,Hilli Region- Bagmati Province,27.4236,85.1912
CBS,Terai (plain) Region,26.90051909,85.29761077
