Year,Countries,Cases,Deaths,Serotypes,Number of Serotypes,Sero1,Sero2,Sero3,Sero4,Dominent_Sero,Pop,PerMillion,PopPerHTh,CasesPerM,DeathsPerM,CasesPerTh,CFR (%),Death(CFR (%)),Population Growth,Median age,Fertility rate,Age: 65+,Age: 25-64,Age: 15-24,Age: 5-14,Age: 0-4,Total dependency ratio,Child dependency ratio,Old-age dependency ratio,Sex ratio at birth,life expectancy,Child mortality,Human Development Index,GDP per capita,Urban population,Rural population,"Current health expenditure per capita, PPP (current international $)",Out-of-pocket expenditure (% of current health expenditure),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","Prevalence of obesity among adults, BMI >= 30 (crude estimate) (%) - Sex: both sexes - Age group: 18+  years",Concentrations of fine particulate matter (PM2.5) - Residence area type: Total,DTP3 (% of one-year-olds immunized),Temperature anomaly,Annual COâ‚‚ emissions (per capita),Access to electricity (% of population),Gini coefficient (before tax) (World Inequality Database),Official development assistance (ODA) by recipient (Official donors),Taxes including social contributions (as a share of GDP),Ratio of female to male labor force participation rate (%) (modeled ILO estimate),Total number of emigrants,The totalpopulation not using improved sanitation facilities,Scientific and technical journal articles per million people,Number of Internet users,Annual Avg Temp,Annual Total Rainfall
2000,Afghanistan,0,0,,0,No,No,No,No,,,0,,#DIV/0!,#DIV/0!,0,0,,20130334,13.989,7.566,455344,5875315,3729488,5868912,4201270,109.58607,104.845276,4.7407947,105.729546,55.2978,7.566,0.34,502.37274,4314700,15228282,87.46503,85.3756,0.00277,1.9,68.96605,24,0.056163114,0.052017417,4.446891,0.52452385,226870000,2.5126307,19.254068,4750677,14370705,0.20467702,930,5.15,79.1
2001,Afghanistan,0,0,,0,No,No,No,No,,,0,,#DIV/0!,#DIV/0!,0,0,,20284303,13.926,7.453,458818,5905054,3744053,5973943,4202429,110.21942,105.46439,4.7550306,105.74118,55.7981,7.453,0.344,489.682,4364773,15323859,87.46503,85.3756,0.00277,2,68.96605,33,0.8838558,0.05270568,9.294527,0.52452385,714490000,2.5126307,19.43368,4750677,14473495,0.050790723,930,5.63,63.28
2002,Afghanistan,0,0,,0,No,No,No,No,,,0,,#DIV/0!,#DIV/0!,0,0,,21378123,13.896,7.32,483992,6211709,3942496,6350855,4389064,110.534615,105.76819,4.7664194,105.77899,56.4538,7.32,0.368,796.8166,4674867,16325389,87.46503,85.3756,0.00277,2.1,68.96605,36,0.5210714,0.062727444,14.133616,0.52452385,1910830000,2.5126307,19.675083,4750677,15033036,0.26190156,958,5.1,131.84
2003,Afghanistan,0,0,,0,No,No,No,No,,,0,,#DIV/0!,#DIV/0!,0,0,,22733054,13.896,7.174,515292,6597530,4199071,6803697,4617455,110.55743,105.7847,4.772724,105.77561,57.3445,7.174,0.379,842.8052,5061866,17583264,86.2293,86.06919,0.00277,2.2,68.96605,41,-0.04455458,0.068605036,18.971165,0.52452385,2101610100,2.5126307,19.932184,4750677,15773968,0.32413143,19903,4.69,163.48
2004,Afghanistan,0,0,,0,No,No,No,No,,,0,,#DIV/0!,#DIV/0!,0,0,,23560656,13.924,7.018,534500,6834183,4369955,7098837,4723171,110.28522,105.514656,4.770559,105.70198,57.9436,7.018,0.395,869.03925,5299549,18254002,93.9263,84.52759,0.00277,2.3,68.96605,50,0.70334846,0.052513268,23.814182,0.52452385,2868810000,4.07617,20.176476,4750677,15949171,0.28658095,24922,5.25,131.84
2005,Afghanistan,0,0,,0,No,No,No,No,,,0,,#DIV/0!,#DIV/0!,0,0,,24404574,13.979,6.858,553916,7081123,4555144,7395958,4818422,109.728455,104.9682,4.7602553,105.64504,58.3608,6.858,0.402,964.4081,5542073,18869118,105.835266,78.970085,0.02684,2.5,68.96605,58,-0.55804604,0.077424295,28.669672,0.52452385,3601090000,4.668273,20.406994,4116739,16051785,0.37482798,298829,3.62,195.12
2006,Afghanistan,0,0,,0,No,No,No,No,,,0,,#DIV/0!,#DIV/0!,0,0,,25424100,14.06,6.686,577570,7382659,4788439,7737765,4937655,108.88902,104.1436,4.7454224,105.6102,58.6844,6.686,0.41,1057.0966,5828215,19614729,118.180824,76.824974,0.02684,2.6,68.96605,58,0.9025186,0.08493193,33.54442,0.52452385,3587790000,7.115892,20.15497,4116739,16231318,0.58405185,536114,4.61,284.77
2007,Afghanistan,0,0,,0,No,No,No,No,,,0,,#DIV/0!,#DIV/0!,0,0,,25909852,14.169,6.508,589754,7530977,4941436,7904676,4942996,107.73718,103.00871,4.7284675,105.57813,59.1113,6.508,0.426,1259.9967,5987030,19916271,112.1307,78.16998,0.02684,2.8,68.96605,63,0.026847005,0.10806349,38.440002,0.52452385,5166100000,6.0615525,19.902363,4116739,16016424,0.5107456,492163,4.4,237.3
2008,Afghanistan,0,0,,0,No,No,No,No,,,0,,#DIV/0!,#DIV/0!,0,0,,26482629,14.302,6.392,604740,7706323,5128486,8077379,4965687,106.33431,101.6226,4.711718,105.57896,59.8515,6.392,0.431,1319.6074,6162823,20264376,137.5722,75.40339,0.02684,2.9,68.96605,64,0.17958002,0.16065161,42.4,0.52452385,5192960000,6.174382,19.70367,4116739,15820902,0.47299746,486261,4.37,258.4
2009,Afghanistan,0,0,,0,No,No,No,No,,,0,,#DIV/0!,#DIV/0!,0,0,,27466101,14.448,6.295,629932,8004814,5406399,8350655,5074285,104.79941,100.102356,4.6970544,105.54078,60.3636,6.295,0.441,1557.3207,6443215,20942092,153.58186,72.77924,0.02684,3.1,68.96605,63,-0.18371193,0.23271917,48.279007,0.52452385,6674380000,8.673145,19.61248,4116739,15855573,0.9545263,972178,3.05,421.88
2010,Afghanistan,0,0,,0,No,No,No,No,,,0,,#DIV/0!,#DIV/0!,0,0,,28284088,14.608,6.195,652394,8263871,5659267,8552497,5156043,103.14438,98.458694,4.6856823,105.44655,60.8508,6.195,0.449,1627.6716,6691382,21498290,148.7448,78.99665,0.01241,3.3,68.96605,66,0.88581735,0.2957424,42.7,0.52452385,6925100000,9.559737,19.659775,5269518,15765909,0.9819199,1127587,4.62,516.8
2011,Afghanistan,0,0,,0,No,No,No,No,,,0,,#DIV/0!,#DIV/0!,0,0,,29347709,14.776,6.094,681480,8606272,5961360,8807812,5290769,101.45823,96.78018,4.6780424,105.32845,61.4191,6.094,0.457,1792,7004588,22244569,147.33917,73.25517,0.01241,3.5,66.94454,68,0.47087845,0.40338126,43.22202,0.52452385,7137490400,9.359386,20.155167,5269518,15781449,1.4314942,1462458,3.76,580.08
2012,Afghanistan,0,0,,0,No,No,No,No,,,0,,#DIV/0!,#DIV/0!,0,0,,30560036,14.947,5.985,714450,9004090,6293281,9086869,5461328,99.77301,95.1026,4.67041,105.20191,61.923,5.985,0.467,1945,7360701,23105778,155.38303,74.486206,0.01241,3.7,68.25744,67,-0.90138716,0.32838032,69.1,0.49265584,6952690000,7.950485,20.778988,5269518,15836532,1.1373154,1661808,1.86,616.99
2013,Afghanistan,0,0,,0,No,No,No,No,,,0,,#DIV/0!,#DIV/0!,0,0,,31622708,15.124,5.879,743043,9371872,6594068,9308013,5605692,98.06343,93.4095,4.653926,105.0917,62.4167,5.879,0.475,2025,7687539,23853670,178.07903,72.04786,0.01241,3.9,72.18289,64,0.31294256,0.29183197,68.04088,0.49265584,5265170000,7.548227,22.217896,5269518,15771492,0.8636319,1860932,4.04,442.97
2014,Afghanistan,0,0,,0,No,No,No,No,,,0,,#DIV/0!,#DIV/0!,0,0,,32792527,15.305,5.77,772749,9786793,6914571,9553296,5765097,96.346275,91.71941,4.6268616,105.01245,62.5451,5.77,0.48,2022,8043935,24672275,202.26155,73.05592,0.01241,4.1,68.05715,62,-0.23411898,0.27707645,89.5,0.49265584,5152620000,7.141338,23.749065,5269518,15711339,1.0701115,2290135,3.11,527.34
